INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT
418	115	2	36236130	724722	150.0	1.0	36236130	724722	150.0	1.0	71123044	1422460	150.0	1.0	4047652	80953	150.0	1.0	19852773	397055	150.0	1.0	29641883	592837	150.0	1.0	29641883	592837	150.0	1.0	24967840	499356	150.0	1.0	9718551	194371	150.0	1.0	20612119	412242	150.0	1.0	26375014	527500	150.0	1.0
419	116	2	36770981	735419	151.5	1.0	36770981	735419	151.5	1.0	72172830	1443456	151.5	1.0	4107396	82147	151.5	1.0	20145803	402916	151.5	1.0	30079401	601588	151.5	1.0	30079401	601588	151.5	1.0	25336369	506727	151.5	1.0	9861998	197239	151.5	1.0	20916357	418327	151.5	1.0	26764313	535286	151.5	1.0
420	117	2	37305832	746116	153.0	1.0	37305832	746116	153.0	1.0	73222617	1464452	153.0	1.0	4167140	83342	153.0	1.0	20438833	408776	153.0	1.0	30516920	610338	153.0	1.0	30516920	610338	153.0	1.0	25704898	514097	153.0	1.0	10005445	200108	153.0	1.0	21220595	424411	153.0	1.0	27153612	543072	153.0	1.0
421	118	2	37840682	756813	154.5	1.0	37840682	756813	154.5	1.0	74272403	1485448	154.5	1.0	4226884	84537	154.5	1.0	20731863	414637	154.5	1.0	30954438	619088	154.5	1.0	30954438	619088	154.5	1.0	26073427	521468	154.5	1.0	10148893	202977	154.5	1.0	21524833	430496	154.5	1.0	27542911	550858	154.5	1.0
422	119	2	38375533	767510	156.0	1.0	38375533	767510	156.0	1.0	75322190	1506443	156.0	1.0	4286628	85732	156.0	1.0	21024893	420497	156.0	1.0	31391957	627839	156.0	1.0	31391957	627839	156.0	1.0	26441956	528839	156.0	1.0	10292340	205846	156.0	1.0	21829071	436581	156.0	1.0	27932210	558644	156.0	1.0
423	120	2	38910384	778207	157.5	1.0	38910384	778207	157.5	1.0	76371977	1527439	157.5	1.0	4346372	86927	157.5	1.0	21317923	426358	157.5	1.0	31829475	636589	157.5	1.0	31829475	636589	157.5	1.0	26810485	536209	157.5	1.0	10435787	208715	157.5	1.0	22133309	442666	157.5	1.0	28321509	566430	157.5	1.0
424	121	2	39445234	788904	159.0	1.0	39445234	788904	159.0	1.0	77421763	1548435	159.0	1.0	4406116	88122	159.0	1.0	21610953	432219	159.0	1.0	32266994	645339	159.0	1.0	32266994	645339	159.0	1.0	27179014	543580	159.0	1.0	10579234	211584	159.0	1.0	22437547	448750	159.0	1.0	28710809	574216	159.0	1.0
425	122	2	39980085	799601	160.5	1.0	39980085	799601	160.5	1.0	78471550	1569431	160.5	1.0	4465860	89317	160.5	1.0	21903982	438079	160.5	1.0	32704512	654090	160.5	1.0	32704512	654090	160.5	1.0	27547543	550950	160.5	1.0	10722682	214453	160.5	1.0	22741785	454835	160.5	1.0	29100108	582002	160.5	1.0
426	123	2	40514935	810298	162.0	1.0	40514935	810298	162.0	1.0	79521337	1590426	162.0	1.0	4525604	90512	162.0	1.0	22197012	443940	162.0	1.0	33142031	662840	162.0	1.0	33142031	662840	162.0	1.0	27916072	558321	162.0	1.0	10866129	217322	162.0	1.0	23046023	460920	162.0	1.0	29489407	589788	162.0	1.0
427	124	2	41049786	820995	163.5	1.0	41049786	820995	163.5	1.0	80571123	1611422	163.5	1.0	4585348	91706	163.5	1.0	22490042	449800	163.5	1.0	33579550	671591	163.5	1.0	33579550	671591	163.5	1.0	28284601	565692	163.5	1.0	11009576	220191	163.5	1.0	23350261	467005	163.5	1.0	29878706	597574	163.5	1.0
428	125	2	41584637	831692	165.0	1.0	41584637	831692	165.0	1.0	81620910	1632418	165.0	1.0	4645092	92901	165.0	1.0	22783072	455661	165.0	1.0	34017068	680341	165.0	1.0	34017068	680341	165.0	1.0	28653130	573062	165.0	1.0	11153023	223060	165.0	1.0	23654498	473089	165.0	1.0	30268005	605360	165.0	1.0
429	126	2	42119487	842389	166.5	1.0	42119487	842389	166.5	1.0	82670697	1653413	166.5	1.0	4704836	94096	166.5	1.0	23076102	461522	166.5	1.0	34454587	689091	166.5	1.0	34454587	689091	166.5	1.0	29021659	580433	166.5	1.0	11296471	225929	166.5	1.0	23958736	479174	166.5	1.0	30657304	613146	166.5	1.0
430	127	2	42654338	853086	168.0	1.0	42654338	853086	168.0	1.0	83720483	1674409	168.0	1.0	4764580	95291	168.0	1.0	23369132	467382	168.0	1.0	34892105	697842	168.0	1.0	34892105	697842	168.0	1.0	29390188	587803	168.0	1.0	11439918	228798	168.0	1.0	24262974	485259	168.0	1.0	31046603	620932	168.0	1.0
431	128	2	43189189	863783	169.5	1.0	43189189	863783	169.5	1.0	84770270	1695405	169.5	1.0	4824324	96486	169.5	1.0	23662162	473243	169.5	1.0	35329624	706592	169.5	1.0	35329624	706592	169.5	1.0	29758717	595174	169.5	1.0	11583365	231667	169.5	1.0	24567212	491344	169.5	1.0	31435902	628718	169.5	1.0
432	129	2	43724039	874480	171.0	1.0	43724039	874480	171.0	1.0	85820056	1716401	171.0	1.0	4884068	97681	171.0	1.0	23955192	479103	171.0	1.0	35767142	715342	171.0	1.0	35767142	715342	171.0	1.0	30127246	602544	171.0	1.0	11726812	234536	171.0	1.0	24871450	497429	171.0	1.0	31825201	636504	171.0	1.0
433	130	2	44258890	885177	172.5	1.0	44258890	885177	172.5	1.0	86869843	1737396	172.5	1.0	4943812	98876	172.5	1.0	24248221	484964	172.5	1.0	36204661	724093	172.5	1.0	36204661	724093	172.5	1.0	30495775	609915	172.5	1.0	11870260	237405	172.5	1.0	25175688	503513	172.5	1.0	32214500	644290	172.5	1.0
434	131	2	44793741	895874	174.0	1.0	44793741	895874	174.0	1.0	87919630	1758392	174.0	1.0	5003556	100071	174.0	1.0	24541251	490825	174.0	1.0	36642180	732843	174.0	1.0	36642180	732843	174.0	1.0	30864304	617286	174.0	1.0	12013707	240274	174.0	1.0	25479926	509598	174.0	1.0	32603800	652076	174.0	1.0
435	132	2	45328591	906571	175.5	1.0	45328591	906571	175.5	1.0	88969416	1779388	175.5	1.0	5063300	101266	175.5	1.0	24834281	496685	175.5	1.0	37079698	741593	175.5	1.0	37079698	741593	175.5	1.0	31232833	624656	175.5	1.0	12157154	243143	175.5	1.0	25784164	515683	175.5	1.0	32993099	659861	175.5	1.0
436	133	2	45863442	917268	177.0	1.0	45863442	917268	177.0	1.0	90019203	1800384	177.0	1.0	5123044	102460	177.0	1.0	25127311	502546	177.0	1.0	37517217	750344	177.0	1.0	37517217	750344	177.0	1.0	31601362	632027	177.0	1.0	12300601	246012	177.0	1.0	26088402	521768	177.0	1.0	33382398	667647	177.0	1.0
437	134	2	46398293	927965	178.5	1.0	46398293	927965	178.5	1.0	91068990	1821379	178.5	1.0	5182788	103655	178.5	1.0	25420341	508406	178.5	1.0	37954735	759094	178.5	1.0	37954735	759094	178.5	1.0	31969891	639397	178.5	1.0	12444049	248880	178.5	1.0	26392640	527852	178.5	1.0	33771697	675433	178.5	1.0
438	135	2	46933143	938662	180.0	1.0	46933143	938662	180.0	1.0	92118776	1842375	180.0	1.0	5242532	104850	180.0	1.0	25713371	514267	180.0	1.0	38392254	767845	180.0	1.0	38392254	767845	180.0	1.0	32338420	646768	180.0	1.0	12587496	251749	180.0	1.0	26696878	533937	180.0	1.0	34160996	683219	180.0	1.0
439	136	2	47467994	949359	181.5	1.0	47467994	949359	181.5	1.0	93168563	1863371	181.5	1.0	5302275	106045	181.5	1.0	26006401	520128	181.5	1.0	38829772	776595	181.5	1.0	38829772	776595	181.5	1.0	32706949	654138	181.5	1.0	12730943	254618	181.5	1.0	27001116	540022	181.5	1.0	34550295	691005	181.5	1.0
440	137	2	48002844	960056	183.0	1.0	48002844	960056	183.0	1.0	94218349	1884366	183.0	1.0	5362019	107240	183.0	1.0	26299431	525988	183.0	1.0	39267291	785345	183.0	1.0	39267291	785345	183.0	1.0	33075478	661509	183.0	1.0	12874390	257487	183.0	1.0	27305354	546107	183.0	1.0	34939594	698791	183.0	1.0
441	138	2	48537695	970753	184.5	1.0	48537695	970753	184.5	1.0	95268136	1905362	184.5	1.0	5421763	108435	184.5	1.0	26592460	531849	184.5	1.0	39704810	794096	184.5	1.0	39704810	794096	184.5	1.0	33444007	668880	184.5	1.0	13017838	260356	184.5	1.0	27609592	552191	184.5	1.0	35328893	706577	184.5	1.0
442	139	2	49072546	981450	186.0	1.0	49072546	981450	186.0	1.0	96317923	1926358	186.0	1.0	5481507	109630	186.0	1.0	26885490	537709	186.0	1.0	40142328	802846	186.0	1.0	40142328	802846	186.0	1.0	33812536	676250	186.0	1.0	13161285	263225	186.0	1.0	27913830	558276	186.0	1.0	35718192	714363	186.0	1.0
443	140	2	49607396	992147	187.5	1.0	49607396	992147	187.5	1.0	97367709	1947354	187.5	1.0	5541251	110825	187.5	1.0	27178520	543570	187.5	1.0	40579847	811596	187.5	1.0	40579847	811596	187.5	1.0	34181065	683621	187.5	1.0	13304732	266094	187.5	1.0	28218067	564361	187.5	1.0	36107492	722149	187.5	1.0
444	141	2	50142247	1002844	189.0	1.0	50142247	1002844	189.0	1.0	98417496	1968349	189.0	1.0	5600995	112019	189.0	1.0	27471550	549431	189.0	1.0	41017365	820347	189.0	1.0	41017365	820347	189.0	1.0	34549594	690991	189.0	1.0	13448179	268963	189.0	1.0	28522305	570446	189.0	1.0	36496791	729935	189.0	1.0
445	142	2	50677098	1013541	190.5	1.0	50677098	1013541	190.5	1.0	99467283	1989345	190.5	1.0	5660739	113214	190.5	1.0	27764580	555291	190.5	1.0	41454884	829097	190.5	1.0	41454884	829097	190.5	1.0	34918123	698362	190.5	1.0	13591627	271832	190.5	1.0	28826543	576530	190.5	1.0	36886090	737721	190.5	1.0
446	143	2	51211948	1024238	192.0	1.0	51211948	1024238	192.0	1.0	100517069	2010341	192.0	1.0	5720483	114409	192.0	1.0	28057610	561152	192.0	1.0	41892402	837848	192.0	1.0	41892402	837848	192.0	1.0	35286652	705733	192.0	1.0	13735074	274701	192.0	1.0	29130781	582615	192.0	1.0	37275389	745507	192.0	1.0
447	144	2	51746799	1034935	193.5	1.0	51746799	1034935	193.5	1.0	101566856	2031337	193.5	1.0	5780227	115604	193.5	1.0	28350640	567012	193.5	1.0	42329921	846598	193.5	1.0	42329921	846598	193.5	1.0	35655181	713103	193.5	1.0	13878521	277570	193.5	1.0	29435019	588700	193.5	1.0	37664688	753293	193.5	1.0
448	145	2	52281650	1045633	195.0	1.0	52281650	1045633	195.0	1.0	102616642	2052332	195.0	1.0	5839971	116799	195.0	1.0	28643669	572873	195.0	1.0	42767440	855348	195.0	1.0	42767440	855348	195.0	1.0	36023710	720474	195.0	1.0	14021968	280439	195.0	1.0	29739257	594785	195.0	1.0	38053987	761079	195.0	1.0
449	146	2	52816500	1056330	196.5	1.0	52816500	1056330	196.5	1.0	103666429	2073328	196.5	1.0	5899715	117994	196.5	1.0	28936699	578733	196.5	1.0	43204958	864099	196.5	1.0	43204958	864099	196.5	1.0	36392239	727844	196.5	1.0	14165416	283308	196.5	1.0	30043495	600869	196.5	1.0	38443286	768865	196.5	1.0
450	147	2	53351351	1067027	198.0	1.0	53351351	1067027	198.0	1.0	104716216	2094324	198.0	1.0	5959459	119189	198.0	1.0	29229729	584594	198.0	1.0	43642477	872849	198.0	1.0	43642477	872849	198.0	1.0	36760768	735215	198.0	1.0	14308863	286177	198.0	1.0	30347733	606954	198.0	1.0	38832585	776651	198.0	1.0
451	148	2	53886201	1077724	199.5	1.0	53886201	1077724	199.5	1.0	105766002	2115320	199.5	1.0	6019203	120384	199.5	1.0	29522759	590455	199.5	1.0	44079995	881599	199.5	1.0	44079995	881599	199.5	1.0	37129297	742585	199.5	1.0	14452310	289046	199.5	1.0	30651971	613039	199.5	1.0	39221884	784437	199.5	1.0
452	149	2	54421052	1088421	201.0	1.0	54421052	1088421	201.0	1.0	106815789	2136315	201.0	1.0	6078947	121578	201.0	1.0	29815789	596315	201.0	1.0	44517514	890350	201.0	1.0	44517514	890350	201.0	1.0	37497826	749956	201.0	1.0	14595757	291915	201.0	1.0	30956209	619124	201.0	1.0	39611183	792223	201.0	1.0
453	150	2	54955903	1099118	202.5	1.0	54955903	1099118	202.5	1.0	107865576	2157311	202.5	1.0	6138691	122773	202.5	1.0	30108819	602176	202.5	1.0	44955032	899100	202.5	1.0	44955032	899100	202.5	1.0	37866355	757327	202.5	1.0	14739205	294784	202.5	1.0	31260447	625208	202.5	1.0	40000483	800009	202.5	1.0
454	0	3	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0	0	0	0.0	1.0
455	1	3	2081	62	1.0	1.0	2081	62	1.0	1.0	3056	91	1.0	1.0	1035	31	1.0	1.0	617	18	1.0	1.0	1695	50	1.0	1.0	1695	50	1.0	1.0	588	17	1.0	1.0	1252	37	1.0	1.0	741	22	1.0	1.0	679	20	1.0	1.0
456	2	3	25861	775	2.0	1.0	25861	775	2.0	1.0	37987	1139	2.0	1.0	12868	386	2.0	1.0	7671	230	2.0	1.0	21064	631	2.0	1.0	21064	631	2.0	1.0	7311	219	2.0	1.0	15563	466	2.0	1.0	9220	276	2.0	1.0	8445	253	2.0	1.0
457	3	3	74169	2224	3.0	1.0	74169	2224	3.0	1.0	108947	3268	3.0	1.0	36907	1107	3.0	1.0	22002	660	3.0	1.0	60412	1812	3.0	1.0	60412	1812	3.0	1.0	20968	629	3.0	1.0	44636	1339	3.0	1.0	26443	793	3.0	1.0	24221	726	3.0	1.0
458	4	3	139996	4199	4.0	1.0	139996	4199	4.0	1.0	205640	6169	4.0	1.0	69663	2089	4.0	1.0	41529	1245	4.0	1.0	114029	3420	4.0	1.0	114029	3420	4.0	1.0	39579	1187	4.0	1.0	84252	2527	4.0	1.0	49912	1497	4.0	1.0	45718	1371	4.0	1.0
459	5	3	220612	6618	5.0	1.0	220612	6618	5.0	1.0	324057	9721	5.0	1.0	109778	3293	5.0	1.0	65444	1963	5.0	1.0	179692	5390	5.0	1.0	179692	5390	5.0	1.0	62370	1871	5.0	1.0	132768	3982	5.0	1.0	78654	2359	5.0	1.0	72045	2161	5.0	1.0
460	6	3	314379	9431	6.0	1.0	314379	9431	6.0	1.0	461792	13853	6.0	1.0	156437	4693	6.0	1.0	93261	2797	6.0	1.0	256067	7681	6.0	1.0	256067	7681	6.0	1.0	88880	2666	6.0	1.0	189198	5675	6.0	1.0	112084	3362	6.0	1.0	102666	3079	6.0	1.0
461	7	3	420161	12604	7.0	1.0	420161	12604	7.0	1.0	617175	18515	7.0	1.0	209075	6272	7.0	1.0	124641	3739	7.0	1.0	342228	10266	7.0	1.0	342228	10266	7.0	1.0	118786	3563	7.0	1.0	252860	7585	7.0	1.0	149798	4493	7.0	1.0	137211	4116	7.0	1.0
462	8	3	537107	16113	8.0	1.0	537107	16113	8.0	1.0	788957	23668	8.0	1.0	267268	8018	8.0	1.0	159333	4779	8.0	1.0	437483	13124	8.0	1.0	437483	13124	8.0	1.0	151848	4555	8.0	1.0	323240	9697	8.0	1.0	191493	5744	8.0	1.0	175402	5262	8.0	1.0
463	9	3	664545	19936	9.0	1.0	664545	19936	9.0	1.0	976150	29284	9.0	1.0	330682	9920	9.0	1.0	197137	5914	9.0	1.0	541283	16238	9.0	1.0	541283	16238	9.0	1.0	187877	5636	9.0	1.0	399934	11998	9.0	1.0	236927	7107	9.0	1.0	217019	6510	9.0	1.0
464	10	3	801927	24057	10.0	1.0	801927	24057	10.0	1.0	1177950	35338	10.0	1.0	399045	11971	10.0	1.0	237892	7136	10.0	1.0	653183	19595	10.0	1.0	653183	19595	10.0	1.0	226717	6801	10.0	1.0	482613	14478	10.0	1.0	285908	8577	10.0	1.0	261884	7856	10.0	1.0
465	11	3	948794	28463	11.0	1.0	948794	28463	11.0	1.0	1393683	41810	11.0	1.0	472127	14163	11.0	1.0	281460	8443	11.0	1.0	772808	23184	11.0	1.0	772808	23184	11.0	1.0	268238	8047	11.0	1.0	571000	17129	11.0	1.0	338270	10148	11.0	1.0	309846	9295	11.0	1.0
466	12	3	1104753	33142	12.0	1.0	1104753	33142	12.0	1.0	1622772	48683	12.0	1.0	549734	16491	12.0	1.0	327726	9831	12.0	1.0	899840	26995	12.0	1.0	899840	26995	12.0	1.0	312331	9369	12.0	1.0	664859	19945	12.0	1.0	393874	11816	12.0	1.0	360777	10823	12.0	1.0
467	13	3	1269465	38083	13.0	1.0	1269465	38083	13.0	1.0	1864717	55941	13.0	1.0	631695	18950	13.0	1.0	376587	11297	13.0	1.0	1034000	31019	13.0	1.0	1034000	31019	13.0	1.0	358897	10766	13.0	1.0	763985	22919	13.0	1.0	452598	13577	13.0	1.0	414567	12437	13.0	1.0
468	14	3	1442629	43278	14.0	1.0	1442629	43278	14.0	1.0	2119077	63572	14.0	1.0	717863	21535	14.0	1.0	427957	12838	14.0	1.0	1175045	35251	14.0	1.0	1175045	35251	14.0	1.0	407853	12235	14.0	1.0	868198	26045	14.0	1.0	514335	15430	14.0	1.0	471117	14133	14.0	1.0
469	15	3	1623978	48719	15.0	1.0	1623978	48719	15.0	1.0	2385460	71563	15.0	1.0	808103	24243	15.0	1.0	481754	14452	15.0	1.0	1322757	39682	15.0	1.0	1322757	39682	15.0	1.0	459123	13773	15.0	1.0	977336	29320	15.0	1.0	578991	17369	15.0	1.0	530340	15910	15.0	1.0
470	16	3	1813273	54398	16.0	1.0	1813273	54398	16.0	1.0	2663515	79905	16.0	1.0	902298	27068	16.0	1.0	537908	16137	16.0	1.0	1476940	44308	16.0	1.0	1476940	44308	16.0	1.0	512640	15379	16.0	1.0	1091257	32737	16.0	1.0	646479	19394	16.0	1.0	592158	17764	16.0	1.0
471	17	3	2010296	60308	17.0	1.0	2010296	60308	17.0	1.0	2952924	88587	17.0	1.0	1000339	30010	17.0	1.0	596356	17890	17.0	1.0	1637420	49122	17.0	1.0	1637420	49122	17.0	1.0	568342	17050	17.0	1.0	1209829	36294	17.0	1.0	716724	21501	17.0	1.0	656499	19694	17.0	1.0
472	18	3	2214853	66445	18.0	1.0	2214853	66445	18.0	1.0	3253396	97601	18.0	1.0	1102127	33063	18.0	1.0	657037	19711	18.0	1.0	1804034	54120	18.0	1.0	1804034	54120	18.0	1.0	626173	18785	18.0	1.0	1332935	39987	18.0	1.0	789653	23689	18.0	1.0	723301	21699	18.0	1.0
473	19	3	2426761	72802	19.0	1.0	2426761	72802	19.0	1.0	3564668	106939	19.0	1.0	1207574	36227	19.0	1.0	719900	21596	19.0	1.0	1976637	59299	19.0	1.0	1976637	59299	19.0	1.0	686082	20582	19.0	1.0	1460464	43813	19.0	1.0	865204	25956	19.0	1.0	792504	23775	19.0	1.0
474	20	3	2645854	79375	20.0	1.0	2645854	79375	20.0	1.0	3886494	116594	20.0	1.0	1316597	39497	20.0	1.0	784894	23546	20.0	1.0	2155092	64652	20.0	1.0	2155092	64652	20.0	1.0	748023	22440	20.0	1.0	1592318	47769	20.0	1.0	943317	28299	20.0	1.0	864053	25921	20.0	1.0
475	21	3	2871978	86159	21.0	1.0	2871978	86159	21.0	1.0	4218648	126559	21.0	1.0	1429118	42873	21.0	1.0	851974	25559	21.0	1.0	2339274	70178	21.0	1.0	2339274	70178	21.0	1.0	811952	24358	21.0	1.0	1728404	51852	21.0	1.0	1023936	30718	21.0	1.0	937898	28136	21.0	1.0
476	22	3	3104992	93149	22.0	1.0	3104992	93149	22.0	1.0	4560921	136827	22.0	1.0	1545067	46351	22.0	1.0	921098	27632	22.0	1.0	2529067	75871	22.0	1.0	2529067	75871	22.0	1.0	877829	26334	22.0	1.0	1868635	56058	22.0	1.0	1107011	33210	22.0	1.0	1013993	30419	22.0	1.0
477	23	3	3344760	100342	23.0	1.0	3344760	100342	23.0	1.0	4913117	147393	23.0	1.0	1664378	49931	23.0	1.0	992225	29766	23.0	1.0	2724363	81730	23.0	1.0	2724363	81730	23.0	1.0	945615	28368	23.0	1.0	2012932	60387	23.0	1.0	1192495	35774	23.0	1.0	1092293	32768	23.0	1.0
478	24	3	3591159	107734	24.0	1.0	3591159	107734	24.0	1.0	5275052	158251	24.0	1.0	1786988	53609	24.0	1.0	1065320	31959	24.0	1.0	2925059	87751	24.0	1.0	2925059	87751	24.0	1.0	1015276	30458	24.0	1.0	2161219	64836	24.0	1.0	1280343	38410	24.0	1.0	1172760	35182	24.0	1.0
479	25	3	3844072	115322	25.0	1.0	3844072	115322	25.0	1.0	5646556	169396	25.0	1.0	1912840	57385	25.0	1.0	1140346	34210	25.0	1.0	3131061	93931	25.0	1.0	3131061	93931	25.0	1.0	1086778	32603	25.0	1.0	2313426	69402	25.0	1.0	1370513	41115	25.0	1.0	1255353	37660	25.0	1.0
480	26	3	4103389	123101	26.0	1.0	4103389	123101	26.0	1.0	6027467	180823	26.0	1.0	2041878	61256	26.0	1.0	1217273	36518	26.0	1.0	3342279	100268	26.0	1.0	3342279	100268	26.0	1.0	1160091	34802	26.0	1.0	2469487	74084	26.0	1.0	1462967	43888	26.0	1.0	1340038	40201	26.0	1.0
481	27	3	4369006	131070	27.0	1.0	4369006	131070	27.0	1.0	6417631	192528	27.0	1.0	2174051	65221	27.0	1.0	1296068	38882	27.0	1.0	3558628	106758	27.0	1.0	3558628	106758	27.0	1.0	1235185	37055	27.0	1.0	2629340	78880	27.0	1.0	1557666	46729	27.0	1.0	1426780	42803	27.0	1.0
482	28	3	4640825	139224	28.0	1.0	4640825	139224	28.0	1.0	6816906	204507	28.0	1.0	2309310	69279	28.0	1.0	1376704	41301	28.0	1.0	3780029	113400	28.0	1.0	3780029	113400	28.0	1.0	1312033	39360	28.0	1.0	2792925	83787	28.0	1.0	1654577	49637	28.0	1.0	1515548	45466	28.0	1.0
483	29	3	4918753	147562	29.0	1.0	4918753	147562	29.0	1.0	7225155	216754	29.0	1.0	2447609	73428	29.0	1.0	1459151	43774	29.0	1.0	4006406	120192	29.0	1.0	4006406	120192	29.0	1.0	1390607	41718	29.0	1.0	2960187	88805	29.0	1.0	1753665	52609	29.0	1.0	1606310	48189	29.0	1.0
484	30	3	5202702	156081	30.0	1.0	5202702	156081	30.0	1.0	7642247	229267	30.0	1.0	2588904	77667	30.0	1.0	1543385	46301	30.0	1.0	4237687	127130	30.0	1.0	4237687	127130	30.0	1.0	1470884	44126	30.0	1.0	3131072	93932	30.0	1.0	1854901	55647	30.0	1.0	1699039	50971	30.0	1.0
485	31	3	5500000	165000	31.25	1.0	5500000	165000	31.25	1.0	8078947	242368	31.25	1.0	2736842	82105	31.25	1.0	1631578	48947	31.25	1.0	4479841	134395	31.25	1.0	4479841	134395	31.25	1.0	1554935	46648	31.25	1.0	3309990	99299	31.25	1.0	1960895	58826	31.25	1.0	1796127	53883	31.25	1.0
486	32	3	5797297	173918	32.5	1.0	5797297	173918	32.5	1.0	8515647	255469	32.5	1.0	2884779	86543	32.5	1.0	1719772	51593	32.5	1.0	4721994	141659	32.5	1.0	4721994	141659	32.5	1.0	1638985	49169	32.5	1.0	3488909	104667	32.5	1.0	2066889	62006	32.5	1.0	1893215	56796	32.5	1.0
487	33	3	6094594	182837	33.75	1.0	6094594	182837	33.75	1.0	8952347	268570	33.75	1.0	3032716	90981	33.75	1.0	1807965	54238	33.75	1.0	4964148	148924	33.75	1.0	4964148	148924	33.75	1.0	1723036	51691	33.75	1.0	3667827	110034	33.75	1.0	2172884	65186	33.75	1.0	1990303	59709	33.75	1.0
488	34	3	6391891	191756	35.0	1.0	6391891	191756	35.0	1.0	9389046	281671	35.0	1.0	3180654	95419	35.0	1.0	1896159	56884	35.0	1.0	5206301	156189	35.0	1.0	5206301	156189	35.0	1.0	1807086	54212	35.0	1.0	3846745	115402	35.0	1.0	2278878	68366	35.0	1.0	2087391	62621	35.0	1.0
489	35	3	6689189	200675	36.25	1.0	6689189	200675	36.25	1.0	9825746	294772	36.25	1.0	3328591	99857	36.25	1.0	1984352	59530	36.25	1.0	5448455	163453	36.25	1.0	5448455	163453	36.25	1.0	1891137	56734	36.25	1.0	4025664	120769	36.25	1.0	2384872	71546	36.25	1.0	2184479	65534	36.25	1.0
490	36	3	6986486	209594	37.5	1.0	6986486	209594	37.5	1.0	10262446	307873	37.5	1.0	3476529	104295	37.5	1.0	2072546	62176	37.5	1.0	5690609	170718	37.5	1.0	5690609	170718	37.5	1.0	1975187	59255	37.5	1.0	4204582	126137	37.5	1.0	2490867	74726	37.5	1.0	2281567	68447	37.5	1.0
491	37	3	7283783	218513	38.75	1.0	7283783	218513	38.75	1.0	10699146	320974	38.75	1.0	3624466	108733	38.75	1.0	2160739	64822	38.75	1.0	5932762	177982	38.75	1.0	5932762	177982	38.75	1.0	2059238	61777	38.75	1.0	4383501	131505	38.75	1.0	2596861	77905	38.75	1.0	2378655	71359	38.75	1.0
492	38	3	7581081	227432	40.0	1.0	7581081	227432	40.0	1.0	11135846	334075	40.0	1.0	3772403	113172	40.0	1.0	2248933	67467	40.0	1.0	6174916	185247	40.0	1.0	6174916	185247	40.0	1.0	2143288	64298	40.0	1.0	4562419	136872	40.0	1.0	2702856	81085	40.0	1.0	2475743	74272	40.0	1.0
493	39	3	7878378	236351	41.25	1.0	7878378	236351	41.25	1.0	11572546	347176	41.25	1.0	3920341	117610	41.25	1.0	2337126	70113	41.25	1.0	6417069	192512	41.25	1.0	6417069	192512	41.25	1.0	2227339	66820	41.25	1.0	4741338	142240	41.25	1.0	2808850	84265	41.25	1.0	2572831	77184	41.25	1.0
494	40	3	8175675	245270	42.5	1.0	8175675	245270	42.5	1.0	12009246	360277	42.5	1.0	4068278	122048	42.5	1.0	2425320	72759	42.5	1.0	6659223	199776	42.5	1.0	6659223	199776	42.5	1.0	2311390	69341	42.5	1.0	4920256	147607	42.5	1.0	2914844	87445	42.5	1.0	2669919	80097	42.5	1.0
495	41	3	8472972	254189	43.75	1.0	8472972	254189	43.75	1.0	12445945	373378	43.75	1.0	4216216	126486	43.75	1.0	2513513	75405	43.75	1.0	6901377	207041	43.75	1.0	6901377	207041	43.75	1.0	2395440	71863	43.75	1.0	5099174	152975	43.75	1.0	3020839	90625	43.75	1.0	2767007	83010	43.75	1.0
496	42	3	8770270	263108	45.0	1.0	8770270	263108	45.0	1.0	12882645	386479	45.0	1.0	4364153	130924	45.0	1.0	2601706	78051	45.0	1.0	7143530	214305	45.0	1.0	7143530	214305	45.0	1.0	2479491	74384	45.0	1.0	5278093	158342	45.0	1.0	3126833	93805	45.0	1.0	2864095	85922	45.0	1.0
497	43	3	9067567	272027	46.25	1.0	9067567	272027	46.25	1.0	13319345	399580	46.25	1.0	4512091	135362	46.25	1.0	2689900	80697	46.25	1.0	7385684	221570	46.25	1.0	7385684	221570	46.25	1.0	2563541	76906	46.25	1.0	5457011	163710	46.25	1.0	3232827	96984	46.25	1.0	2961183	88835	46.25	1.0
498	44	3	9364864	280945	47.5	1.0	9364864	280945	47.5	1.0	13756045	412681	47.5	1.0	4660028	139800	47.5	1.0	2778093	83342	47.5	1.0	7627837	228835	47.5	1.0	7627837	228835	47.5	1.0	2647592	79427	47.5	1.0	5635930	169077	47.5	1.0	3338822	100164	47.5	1.0	3058271	91748	47.5	1.0
