INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
574	5	75	300	34	74	390	390	390	390	390	390
575	5	76	300	34	75	390	390	390	390	390	390
576	5	77	300	33	76	390	390	390	390	390	390
577	5	78	300	32	77	390	390	390	390	390	390
578	5	79	300	32	78	390	390	390	390	390	390
579	5	80	300	31	79	390	390	390	390	390	390
580	5	81	300	24	80	390	390	390	390	390	390
581	5	82	300	23	81	390	390	390	390	390	390
582	5	83	300	22	82	390	390	390	390	390	390
583	5	84	300	21	83	390	390	390	390	390	390
584	5	85	300	21	84	390	390	390	390	390	390
585	5	86	300	20	85	390	390	390	390	390	390
586	5	87	300	19	86	390	390	390	390	390	390
587	5	88	300	19	87	390	390	390	390	390	390
588	5	89	300	18	88	390	390	390	390	390	390
589	5	90	300	18	89	390	390	390	390	390	390
590	5	91	300	15	90	390	390	390	390	390	390
591	5	92	300	14	91	390	390	390	390	390	390
592	5	93	300	14	92	390	390	390	390	390	390
593	5	94	300	14	93	390	390	390	390	390	390
594	5	95	300	14	94	390	390	390	390	390	390
595	5	96	300	14	95	390	390	390	390	390	390
596	5	97	300	13	96	390	390	390	390	390	390
597	5	98	300	13	97	390	390	390	390	390	390
598	5	99	300	13	98	390	390	390	390	390	390
599	5	100	0	0	0	390	390	390	390	390	390
600	6	1	100	3500	0	20	20	20	20	20	20
601	6	2	115	2000	1	30	30	30	30	30	30
602	6	3	132	1000	1	42	42	42	42	42	42
603	6	4	151	500	1	60	60	60	60	60	60
604	6	5	173	500	1	88	88	88	88	88	88
605	6	6	199	200	5	140	140	140	140	140	140
606	6	7	228	200	5	186	186	186	186	186	186
607	6	8	261	200	7	270	270	270	270	270	270
608	6	9	300	200	8	390	390	390	390	390	390
609	6	10	173	1000	9	390	390	390	390	390	390
610	6	11	199	1000	10	390	390	390	390	390	390
611	6	12	228	1000	11	390	390	390	390	390	390
612	6	13	261	1000	12	390	390	390	390	390	390
613	6	14	300	1000	13	390	390	390	390	390	390
614	6	15	300	1000	14	390	390	390	390	390	390
615	6	16	300	1000	15	390	390	390	390	390	390
616	6	17	300	1000	16	390	390	390	390	390	390
617	6	18	300	1000	17	390	390	390	390	390	390
618	6	19	300	1000	18	390	390	390	390	390	390
619	6	20	300	1000	19	390	390	390	390	390	390
620	6	21	300	2666	20	390	390	390	390	390	390
621	6	22	300	1000	21	390	390	390	390	390	390
622	6	23	300	1000	22	390	390	390	390	390	390
623	6	24	300	333	23	390	390	390	390	390	390
624	6	25	300	857	24	390	390	390	390	390	390
625	6	26	300	500	25	390	390	390	390	390	390
626	6	27	300	222	26	390	390	390	390	390	390
627	6	28	300	100	27	390	390	390	390	390	390
628	6	29	300	818	28	390	390	390	390	390	390
629	6	30	300	666	29	390	390	390	390	390	390
630	6	31	300	250	30	390	390	390	390	390	390
631	6	32	300	111	31	390	390	390	390	390	390
632	6	33	300	309	32	390	390	390	390	390	390
633	6	34	300	314	33	390	390	390	390	390	390
634	6	35	300	188	34	390	390	390	390	390	390
635	6	36	300	200	35	390	390	390	390	390	390
636	6	37	300	134	36	390	390	390	390	390	390
637	6	38	300	84	37	390	390	390	390	390	390
638	6	39	300	44	38	390	390	390	390	390	390
639	6	40	300	112	39	390	390	390	390	390	390
640	6	41	300	127	40	390	390	390	390	390	390
641	6	42	300	112	41	390	390	390	390	390	390
642	6	43	300	100	42	390	390	390	390	390	390
643	6	44	300	88	43	390	390	390	390	390	390
644	6	45	300	78	44	390	390	390	390	390	390
645	6	46	300	169	45	390	390	390	390	390	390
646	6	47	300	161	46	390	390	390	390	390	390
647	6	48	300	153	47	390	390	390	390	390	390
648	6	49	300	147	48	390	390	390	390	390	390
649	6	50	300	87	49	390	390	390	390	390	390
650	6	51	300	87	50	390	390	390	390	390	390
651	6	52	300	87	51	390	390	390	390	390	390
652	6	53	300	87	52	390	390	390	390	390	390
653	6	54	300	87	53	390	390	390	390	390	390
654	6	55	300	87	54	390	390	390	390	390	390
655	6	56	300	87	55	390	390	390	390	390	390
656	6	57	300	87	56	390	390	390	390	390	390
657	6	58	300	87	57	390	390	390	390	390	390
658	6	59	300	87	58	390	390	390	390	390	390
659	6	60	300	37	59	390	390	390	390	390	390
660	6	61	300	37	60	390	390	390	390	390	390
661	6	62	300	37	61	390	390	390	390	390	390
662	6	63	300	37	62	390	390	390	390	390	390
663	6	64	300	37	63	390	390	390	390	390	390
664	6	65	300	37	64	390	390	390	390	390	390
665	6	66	300	37	65	390	390	390	390	390	390
666	6	67	300	37	66	390	390	390	390	390	390
667	6	68	300	37	67	390	390	390	390	390	390
668	6	69	300	45	68	390	390	390	390	390	390
669	6	70	300	42	69	390	390	390	390	390	390
670	6	71	300	37	70	390	390	390	390	390	390
671	6	72	300	37	71	390	390	390	390	390	390
672	6	73	300	36	72	390	390	390	390	390	390
673	6	74	300	35	73	390	390	390	390	390	390
674	6	75	300	34	74	390	390	390	390	390	390
675	6	76	300	34	75	390	390	390	390	390	390
676	6	77	300	33	76	390	390	390	390	390	390
677	6	78	300	32	77	390	390	390	390	390	390
678	6	79	300	32	78	390	390	390	390	390	390
679	6	80	300	31	79	390	390	390	390	390	390
680	6	81	300	24	80	390	390	390	390	390	390
681	6	82	300	23	81	390	390	390	390	390	390
682	6	83	300	22	82	390	390	390	390	390	390
683	6	84	300	21	83	390	390	390	390	390	390
684	6	85	300	21	84	390	390	390	390	390	390
685	6	86	300	20	85	390	390	390	390	390	390
686	6	87	300	19	86	390	390	390	390	390	390
687	6	88	300	19	87	390	390	390	390	390	390
688	6	89	300	18	88	390	390	390	390	390	390
689	6	90	300	18	89	390	390	390	390	390	390
690	6	91	300	15	90	390	390	390	390	390	390
691	6	92	300	14	91	390	390	390	390	390	390
692	6	93	300	14	92	390	390	390	390	390	390
693	6	94	300	14	93	390	390	390	390	390	390
694	6	95	300	14	94	390	390	390	390	390	390
695	6	96	300	14	95	390	390	390	390	390	390
696	6	97	300	13	96	390	390	390	390	390	390
697	6	98	300	13	97	390	390	390	390	390	390
698	6	99	300	13	98	390	390	390	390	390	390
699	6	100	0	0	0	390	390	390	390	390	390
700	7	1	100	3500	0	20	20	20	20	20	20
701	7	2	115	2000	1	30	30	30	30	30	30
702	7	3	132	1000	1	42	42	42	42	42	42
703	7	4	151	500	1	60	60	60	60	60	60
704	7	5	173	500	1	88	88	88	88	88	88
705	7	6	199	200	5	140	140	140	140	140	140
706	7	7	228	200	5	186	186	186	186	186	186
707	7	8	261	200	7	270	270	270	270	270	270
708	7	9	300	200	8	390	390	390	390	390	390
709	7	10	173	1000	9	390	390	390	390	390	390
710	7	11	199	1000	10	390	390	390	390	390	390
711	7	12	228	1000	11	390	390	390	390	390	390
712	7	13	261	1000	12	390	390	390	390	390	390
713	7	14	300	1000	13	390	390	390	390	390	390
714	7	15	300	1000	14	390	390	390	390	390	390
715	7	16	300	1000	15	390	390	390	390	390	390
716	7	17	300	1000	16	390	390	390	390	390	390
717	7	18	300	1000	17	390	390	390	390	390	390
718	7	19	300	1000	18	390	390	390	390	390	390
719	7	20	300	1000	19	390	390	390	390	390	390
720	7	21	300	2666	20	390	390	390	390	390	390
721	7	22	300	1000	21	390	390	390	390	390	390
722	7	23	300	1000	22	390	390	390	390	390	390
723	7	24	300	333	23	390	390	390	390	390	390
724	7	25	300	857	24	390	390	390	390	390	390
725	7	26	300	500	25	390	390	390	390	390	390
726	7	27	300	222	26	390	390	390	390	390	390
727	7	28	300	100	27	390	390	390	390	390	390
728	7	29	300	818	28	390	390	390	390	390	390
729	7	30	300	666	29	390	390	390	390	390	390
730	7	31	300	250	30	390	390	390	390	390	390
731	7	32	300	111	31	390	390	390	390	390	390
732	7	33	300	309	32	390	390	390	390	390	390
733	7	34	300	314	33	390	390	390	390	390	390
734	7	35	300	188	34	390	390	390	390	390	390
735	7	36	300	200	35	390	390	390	390	390	390
736	7	37	300	134	36	390	390	390	390	390	390
737	7	38	300	84	37	390	390	390	390	390	390
738	7	39	300	44	38	390	390	390	390	390	390
739	7	40	300	112	39	390	390	390	390	390	390
740	7	41	300	127	40	390	390	390	390	390	390
741	7	42	300	112	41	390	390	390	390	390	390
742	7	43	300	100	42	390	390	390	390	390	390
743	7	44	300	88	43	390	390	390	390	390	390
744	7	45	300	78	44	390	390	390	390	390	390
745	7	46	300	169	45	390	390	390	390	390	390
746	7	47	300	161	46	390	390	390	390	390	390
747	7	48	300	153	47	390	390	390	390	390	390
748	7	49	300	147	48	390	390	390	390	390	390
749	7	50	300	87	49	390	390	390	390	390	390
750	7	51	300	87	50	390	390	390	390	390	390
751	7	52	300	87	51	390	390	390	390	390	390
752	7	53	300	87	52	390	390	390	390	390	390
753	7	54	300	87	53	390	390	390	390	390	390
754	7	55	300	87	54	390	390	390	390	390	390
755	7	56	300	87	55	390	390	390	390	390	390
756	7	57	300	87	56	390	390	390	390	390	390
757	7	58	300	87	57	390	390	390	390	390	390
758	7	59	300	87	58	390	390	390	390	390	390
759	7	60	300	37	59	390	390	390	390	390	390
760	7	61	300	37	60	390	390	390	390	390	390
761	7	62	300	37	61	390	390	390	390	390	390
762	7	63	300	37	62	390	390	390	390	390	390
763	7	64	300	37	63	390	390	390	390	390	390
764	7	65	300	37	64	390	390	390	390	390	390
765	7	66	300	37	65	390	390	390	390	390	390
766	7	67	300	37	66	390	390	390	390	390	390
767	7	68	300	37	67	390	390	390	390	390	390
768	7	69	300	45	68	390	390	390	390	390	390
769	7	70	300	42	69	390	390	390	390	390	390
770	7	71	300	37	70	390	390	390	390	390	390
771	7	72	300	37	71	390	390	390	390	390	390
772	7	73	300	36	72	390	390	390	390	390	390
773	7	74	300	35	73	390	390	390	390	390	390
774	7	75	300	34	74	390	390	390	390	390	390
775	7	76	300	34	75	390	390	390	390	390	390
776	7	77	300	33	76	390	390	390	390	390	390
777	7	78	300	32	77	390	390	390	390	390	390
778	7	79	300	32	78	390	390	390	390	390	390
779	7	80	300	31	79	390	390	390	390	390	390
780	7	81	300	24	80	390	390	390	390	390	390
781	7	82	300	23	81	390	390	390	390	390	390
782	7	83	300	22	82	390	390	390	390	390	390
783	7	84	300	21	83	390	390	390	390	390	390
784	7	85	300	21	84	390	390	390	390	390	390
785	7	86	300	20	85	390	390	390	390	390	390
786	7	87	300	19	86	390	390	390	390	390	390
787	7	88	300	19	87	390	390	390	390	390	390
788	7	89	300	18	88	390	390	390	390	390	390
789	7	90	300	18	89	390	390	390	390	390	390
790	7	91	300	15	90	390	390	390	390	390	390
791	7	92	300	14	91	390	390	390	390	390	390
792	7	93	300	14	92	390	390	390	390	390	390
793	7	94	300	14	93	390	390	390	390	390	390
794	7	95	300	14	94	390	390	390	390	390	390
795	7	96	300	14	95	390	390	390	390	390	390
796	7	97	300	13	96	390	390	390	390	390	390
797	7	98	300	13	97	390	390	390	390	390	390
798	7	99	300	13	98	390	390	390	390	390	390
799	7	100	0	0	0	390	390	390	390	390	390
800	8	1	100	3500	0	10	10	10	10	10	10
801	8	2	115	2000	1	15	15	15	15	15	15
802	8	3	132	1000	1	21	21	21	21	21	21
803	8	4	151	500	1	30	30	30	30	30	30
804	8	5	173	500	1	44	44	44	44	44	44
805	8	6	199	200	5	70	70	70	70	70	70
806	8	7	228	200	5	93	93	93	93	93	93
807	8	8	261	200	7	135	135	135	135	135	135
808	8	9	300	200	8	195	195	195	195	195	195
809	8	10	300	1000	9	195	195	195	195	195	195
810	8	11	300	1000	10	195	195	195	195	195	195
811	8	12	300	1000	11	195	195	195	195	195	195
812	8	13	300	1000	12	195	195	195	195	195	195
813	8	14	300	1000	13	195	195	195	195	195	195
814	8	15	300	1000	14	195	195	195	195	195	195
815	8	16	300	1000	15	195	195	195	195	195	195
816	8	17	300	1000	16	195	195	195	195	195	195
817	8	18	300	1000	17	195	195	195	195	195	195
818	8	19	300	1000	18	195	195	195	195	195	195
819	8	20	300	1000	19	195	195	195	195	195	195
820	8	21	300	2666	20	195	195	195	195	195	195
821	8	22	300	1000	21	195	195	195	195	195	195
822	8	23	300	1000	22	195	195	195	195	195	195
823	8	24	300	333	23	195	195	195	195	195	195
824	8	25	300	857	24	195	195	195	195	195	195
825	8	26	300	500	25	195	195	195	195	195	195
826	8	27	300	222	26	195	195	195	195	195	195
827	8	28	300	100	27	195	195	195	195	195	195
828	8	29	300	818	28	195	195	195	195	195	195
829	8	30	300	666	29	195	195	195	195	195	195
830	8	31	300	250	30	195	195	195	195	195	195
831	8	32	300	111	31	195	195	195	195	195	195
832	8	33	300	309	32	195	195	195	195	195	195
833	8	34	300	314	33	195	195	195	195	195	195
834	8	35	300	188	34	195	195	195	195	195	195
835	8	36	300	200	35	195	195	195	195	195	195
836	8	37	300	134	36	195	195	195	195	195	195
837	8	38	300	84	37	195	195	195	195	195	195
838	8	39	300	44	38	195	195	195	195	195	195
839	8	40	300	112	39	195	195	195	195	195	195
840	8	41	300	127	40	195	195	195	195	195	195
841	8	42	300	112	41	195	195	195	195	195	195
842	8	43	300	100	42	195	195	195	195	195	195
843	8	44	300	88	43	195	195	195	195	195	195
844	8	45	300	78	44	195	195	195	195	195	195
845	8	46	300	169	45	195	195	195	195	195	195
846	8	47	300	161	46	195	195	195	195	195	195
847	8	48	300	153	47	195	195	195	195	195	195
848	8	49	300	147	48	195	195	195	195	195	195
849	8	50	300	87	49	195	195	195	195	195	195
850	8	51	300	87	50	195	195	195	195	195	195
851	8	52	300	87	51	195	195	195	195	195	195
852	8	53	300	87	52	195	195	195	195	195	195
853	8	54	300	87	53	195	195	195	195	195	195
854	8	55	300	87	54	195	195	195	195	195	195
855	8	56	300	87	55	195	195	195	195	195	195
856	8	57	300	87	56	195	195	195	195	195	195
857	8	58	300	87	57	195	195	195	195	195	195
858	8	59	300	87	58	195	195	195	195	195	195
859	8	60	300	37	59	195	195	195	195	195	195
860	8	61	300	37	60	195	195	195	195	195	195
861	8	62	300	37	61	195	195	195	195	195	195
862	8	63	300	37	62	195	195	195	195	195	195
863	8	64	300	37	63	195	195	195	195	195	195
864	8	65	300	37	64	195	195	195	195	195	195
865	8	66	300	37	65	195	195	195	195	195	195
866	8	67	300	37	66	195	195	195	195	195	195
867	8	68	300	37	67	195	195	195	195	195	195
868	8	69	300	45	68	195	195	195	195	195	195
869	8	70	300	42	69	195	195	195	195	195	195
870	8	71	300	37	70	195	195	195	195	195	195
871	8	72	300	37	71	195	195	195	195	195	195
872	8	73	300	36	72	195	195	195	195	195	195
873	8	74	300	35	73	195	195	195	195	195	195
874	8	75	300	34	74	195	195	195	195	195	195
875	8	76	300	34	75	195	195	195	195	195	195
876	8	77	300	33	76	195	195	195	195	195	195
877	8	78	300	32	77	195	195	195	195	195	195
878	8	79	300	32	78	195	195	195	195	195	195
879	8	80	300	31	79	195	195	195	195	195	195
880	8	81	300	24	80	195	195	195	195	195	195
881	8	82	300	23	81	195	195	195	195	195	195
882	8	83	300	22	82	195	195	195	195	195	195
883	8	84	300	21	83	195	195	195	195	195	195
884	8	85	300	21	84	195	195	195	195	195	195
885	8	86	300	20	85	195	195	195	195	195	195
886	8	87	300	19	86	195	195	195	195	195	195
887	8	88	300	19	87	195	195	195	195	195	195
888	8	89	300	18	88	195	195	195	195	195	195
889	8	90	300	18	89	195	195	195	195	195	195
890	8	91	300	15	90	195	195	195	195	195	195
891	8	92	300	14	91	195	195	195	195	195	195
892	8	93	300	14	92	195	195	195	195	195	195
893	8	94	300	14	93	195	195	195	195	195	195
894	8	95	300	14	94	195	195	195	195	195	195
895	8	96	300	14	95	195	195	195	195	195	195
896	8	97	300	13	96	195	195	195	195	195	195
897	8	98	300	13	97	195	195	195	195	195	195
898	8	99	300	13	98	195	195	195	195	195	195
899	8	100	0	0	0	195	195	195	195	195	195
900	9	1	100	3500	0	10	10	10	10	10	10
901	9	2	115	2000	1	15	15	15	15	15	15
902	9	3	132	1000	1	21	21	21	21	21	21
903	9	4	151	500	1	30	30	30	30	30	30
904	9	5	173	500	1	44	44	44	44	44	44
905	9	6	199	200	5	70	70	70	70	70	70
906	9	7	228	200	5	93	93	93	93	93	93
907	9	8	261	200	7	135	135	135	135	135	135
908	9	9	300	200	8	195	195	195	195	195	195
909	9	10	300	1000	9	195	195	195	195	195	195
910	9	11	300	1000	10	195	195	195	195	195	195
911	9	12	300	1000	11	195	195	195	195	195	195
912	9	13	300	1000	12	195	195	195	195	195	195
913	9	14	300	1000	13	195	195	195	195	195	195
914	9	15	300	1000	14	195	195	195	195	195	195
915	9	16	300	1000	15	195	195	195	195	195	195
916	9	17	300	1000	16	195	195	195	195	195	195
917	9	18	300	1000	17	195	195	195	195	195	195
918	9	19	300	1000	18	195	195	195	195	195	195
919	9	20	300	1000	19	195	195	195	195	195	195
920	9	21	300	2666	20	195	195	195	195	195	195
921	9	22	300	1000	21	195	195	195	195	195	195
922	9	23	300	1000	22	195	195	195	195	195	195
923	9	24	300	333	23	195	195	195	195	195	195
924	9	25	300	857	24	195	195	195	195	195	195
925	9	26	300	500	25	195	195	195	195	195	195
926	9	27	300	222	26	195	195	195	195	195	195
927	9	28	300	100	27	195	195	195	195	195	195
928	9	29	300	818	28	195	195	195	195	195	195
929	9	30	300	666	29	195	195	195	195	195	195
930	9	31	300	250	30	195	195	195	195	195	195
931	9	32	300	111	31	195	195	195	195	195	195
932	9	33	300	309	32	195	195	195	195	195	195
933	9	34	300	314	33	195	195	195	195	195	195
934	9	35	300	188	34	195	195	195	195	195	195
935	9	36	300	200	35	195	195	195	195	195	195
936	9	37	300	134	36	195	195	195	195	195	195
937	9	38	300	84	37	195	195	195	195	195	195
938	9	39	300	44	38	195	195	195	195	195	195
939	9	40	300	112	39	195	195	195	195	195	195
940	9	41	300	127	40	195	195	195	195	195	195
941	9	42	300	112	41	195	195	195	195	195	195
942	9	43	300	100	42	195	195	195	195	195	195
943	9	44	300	88	43	195	195	195	195	195	195
944	9	45	300	78	44	195	195	195	195	195	195
945	9	46	300	169	45	195	195	195	195	195	195
946	9	47	300	161	46	195	195	195	195	195	195
947	9	48	300	153	47	195	195	195	195	195	195
948	9	49	300	147	48	195	195	195	195	195	195
949	9	50	300	87	49	195	195	195	195	195	195
950	9	51	300	87	50	195	195	195	195	195	195
951	9	52	300	87	51	195	195	195	195	195	195
952	9	53	300	87	52	195	195	195	195	195	195
953	9	54	300	87	53	195	195	195	195	195	195
954	9	55	300	87	54	195	195	195	195	195	195
955	9	56	300	87	55	195	195	195	195	195	195
956	9	57	300	87	56	195	195	195	195	195	195
957	9	58	300	87	57	195	195	195	195	195	195
958	9	59	300	87	58	195	195	195	195	195	195
959	9	60	300	37	59	195	195	195	195	195	195
960	9	61	300	37	60	195	195	195	195	195	195
961	9	62	300	37	61	195	195	195	195	195	195
962	9	63	300	37	62	195	195	195	195	195	195
963	9	64	300	37	63	195	195	195	195	195	195
964	9	65	300	37	64	195	195	195	195	195	195
965	9	66	300	37	65	195	195	195	195	195	195
966	9	67	300	37	66	195	195	195	195	195	195
967	9	68	300	37	67	195	195	195	195	195	195
968	9	69	300	45	68	195	195	195	195	195	195
969	9	70	300	42	69	195	195	195	195	195	195
970	9	71	300	37	70	195	195	195	195	195	195
971	9	72	300	37	71	195	195	195	195	195	195
972	9	73	300	36	72	195	195	195	195	195	195
973	9	74	300	35	73	195	195	195	195	195	195
974	9	75	300	34	74	195	195	195	195	195	195
975	9	76	300	34	75	195	195	195	195	195	195
976	9	77	300	33	76	195	195	195	195	195	195
977	9	78	300	32	77	195	195	195	195	195	195
978	9	79	300	32	78	195	195	195	195	195	195
979	9	80	300	31	79	195	195	195	195	195	195
980	9	81	300	24	80	195	195	195	195	195	195
981	9	82	300	23	81	195	195	195	195	195	195
982	9	83	300	22	82	195	195	195	195	195	195
983	9	84	300	21	83	195	195	195	195	195	195
984	9	85	300	21	84	195	195	195	195	195	195
985	9	86	300	20	85	195	195	195	195	195	195
986	9	87	300	19	86	195	195	195	195	195	195
987	9	88	300	19	87	195	195	195	195	195	195
988	9	89	300	18	88	195	195	195	195	195	195
989	9	90	300	18	89	195	195	195	195	195	195
990	9	91	300	15	90	195	195	195	195	195	195
991	9	92	300	14	91	195	195	195	195	195	195
992	9	93	300	14	92	195	195	195	195	195	195
993	9	94	300	14	93	195	195	195	195	195	195
994	9	95	300	14	94	195	195	195	195	195	195
995	9	96	300	14	95	195	195	195	195	195	195
996	9	97	300	13	96	195	195	195	195	195	195
997	9	98	300	13	97	195	195	195	195	195	195
998	9	99	300	13	98	195	195	195	195	195	195
999	9	100	0	0	0	195	195	195	195	195	195
1000	10	1	100	3500	0	10	10	10	10	10	10
1001	10	2	115	2000	1	15	15	15	15	15	15
1002	10	3	132	1000	1	21	21	21	21	21	21
1003	10	4	151	500	1	30	30	30	30	30	30
1004	10	5	173	500	1	44	44	44	44	44	44
1005	10	6	199	200	5	70	70	70	70	70	70
1006	10	7	228	200	5	93	93	93	93	93	93
1007	10	8	261	200	7	135	135	135	135	135	135
1008	10	9	300	200	8	195	195	195	195	195	195
1009	10	10	300	1000	9	195	195	195	195	195	195
1010	10	11	300	1000	10	195	195	195	195	195	195
1011	10	12	300	1000	11	195	195	195	195	195	195
1012	10	13	300	1000	12	195	195	195	195	195	195
1013	10	14	300	1000	13	195	195	195	195	195	195
1014	10	15	300	1000	14	195	195	195	195	195	195
1015	10	16	300	1000	15	195	195	195	195	195	195
1016	10	17	300	1000	16	195	195	195	195	195	195
1017	10	18	300	1000	17	195	195	195	195	195	195
1018	10	19	300	1000	18	195	195	195	195	195	195
1019	10	20	300	1000	19	195	195	195	195	195	195
1020	10	21	300	2666	20	195	195	195	195	195	195
1021	10	22	300	1000	21	195	195	195	195	195	195
1022	10	23	300	1000	22	195	195	195	195	195	195
1023	10	24	300	333	23	195	195	195	195	195	195
1024	10	25	300	857	24	195	195	195	195	195	195
1025	10	26	300	500	25	195	195	195	195	195	195
1026	10	27	300	222	26	195	195	195	195	195	195
1027	10	28	300	100	27	195	195	195	195	195	195
1028	10	29	300	818	28	195	195	195	195	195	195
1029	10	30	300	666	29	195	195	195	195	195	195
1030	10	31	300	250	30	195	195	195	195	195	195
1031	10	32	300	111	31	195	195	195	195	195	195
1032	10	33	300	309	32	195	195	195	195	195	195
1033	10	34	300	314	33	195	195	195	195	195	195
1034	10	35	300	188	34	195	195	195	195	195	195
1035	10	36	300	200	35	195	195	195	195	195	195
1036	10	37	300	134	36	195	195	195	195	195	195
1037	10	38	300	84	37	195	195	195	195	195	195
1038	10	39	300	44	38	195	195	195	195	195	195
1039	10	40	300	112	39	195	195	195	195	195	195
1040	10	41	300	127	40	195	195	195	195	195	195
1041	10	42	300	112	41	195	195	195	195	195	195
1042	10	43	300	100	42	195	195	195	195	195	195
1043	10	44	300	88	43	195	195	195	195	195	195
1044	10	45	300	78	44	195	195	195	195	195	195
1045	10	46	300	169	45	195	195	195	195	195	195
1046	10	47	300	161	46	195	195	195	195	195	195
1047	10	48	300	153	47	195	195	195	195	195	195
1048	10	49	300	147	48	195	195	195	195	195	195
1049	10	50	300	87	49	195	195	195	195	195	195
1050	10	51	300	87	50	195	195	195	195	195	195
1051	10	52	300	87	51	195	195	195	195	195	195
1052	10	53	300	87	52	195	195	195	195	195	195
1053	10	54	300	87	53	195	195	195	195	195	195
1054	10	55	300	87	54	195	195	195	195	195	195
1055	10	56	300	87	55	195	195	195	195	195	195
1056	10	57	300	87	56	195	195	195	195	195	195
1057	10	58	300	87	57	195	195	195	195	195	195
1058	10	59	300	87	58	195	195	195	195	195	195
1059	10	60	300	37	59	195	195	195	195	195	195
1060	10	61	300	37	60	195	195	195	195	195	195
1061	10	62	300	37	61	195	195	195	195	195	195
1062	10	63	300	37	62	195	195	195	195	195	195
1063	10	64	300	37	63	195	195	195	195	195	195
1064	10	65	300	37	64	195	195	195	195	195	195
1065	10	66	300	37	65	195	195	195	195	195	195
1066	10	67	300	37	66	195	195	195	195	195	195
1067	10	68	300	37	67	195	195	195	195	195	195
1068	10	69	300	45	68	195	195	195	195	195	195
1069	10	70	300	42	69	195	195	195	195	195	195
1070	10	71	300	37	70	195	195	195	195	195	195
1071	10	72	300	37	71	195	195	195	195	195	195
1072	10	73	300	36	72	195	195	195	195	195	195
1073	10	74	300	35	73	195	195	195	195	195	195
1074	10	75	300	34	74	195	195	195	195	195	195
1075	10	76	300	34	75	195	195	195	195	195	195
1076	10	77	300	33	76	195	195	195	195	195	195
1077	10	78	300	32	77	195	195	195	195	195	195
1078	10	79	300	32	78	195	195	195	195	195	195
1079	10	80	300	31	79	195	195	195	195	195	195
1080	10	81	300	24	80	195	195	195	195	195	195
1081	10	82	300	23	81	195	195	195	195	195	195
1082	10	83	300	22	82	195	195	195	195	195	195
1083	10	84	300	21	83	195	195	195	195	195	195
1084	10	85	300	21	84	195	195	195	195	195	195
1085	10	86	300	20	85	195	195	195	195	195	195
1086	10	87	300	19	86	195	195	195	195	195	195
1087	10	88	300	19	87	195	195	195	195	195	195
1088	10	89	300	18	88	195	195	195	195	195	195
1089	10	90	300	18	89	195	195	195	195	195	195
1090	10	91	300	15	90	195	195	195	195	195	195
1091	10	92	300	14	91	195	195	195	195	195	195
1092	10	93	300	14	92	195	195	195	195	195	195
1093	10	94	300	14	93	195	195	195	195	195	195
1094	10	95	300	14	94	195	195	195	195	195	195
1095	10	96	300	14	95	195	195	195	195	195	195
1096	10	97	300	13	96	195	195	195	195	195	195
1097	10	98	300	13	97	195	195	195	195	195	195
1098	10	99	300	13	98	195	195	195	195	195	195
1099	10	100	0	0	0	195	195	195	195	195	195
1100	11	1	100	3500	0	20	20	20	20	20	20
1101	11	2	115	2000	1	30	30	30	30	30	30
1102	11	3	132	1000	1	42	42	42	42	42	42
1103	11	4	151	500	1	60	60	60	60	60	60
1104	11	5	173	500	1	88	88	88	88	88	88
1105	11	6	199	200	5	140	140	140	140	140	140
1106	11	7	228	200	5	186	186	186	186	186	186
1107	11	8	261	200	7	270	270	270	270	270	270
1108	11	9	300	200	8	390	390	390	390	390	390
1109	11	10	173	1000	9	390	390	390	390	390	390
1110	11	11	199	1000	10	390	390	390	390	390	390
1111	11	12	228	1000	11	390	390	390	390	390	390
1112	11	13	261	1000	12	390	390	390	390	390	390
1113	11	14	300	1000	13	390	390	390	390	390	390
1114	11	15	300	1000	14	390	390	390	390	390	390
1115	11	16	300	1000	15	390	390	390	390	390	390
1116	11	17	300	1000	16	390	390	390	390	390	390
1117	11	18	300	1000	17	390	390	390	390	390	390
1118	11	19	300	1000	18	390	390	390	390	390	390
1119	11	20	300	1000	19	390	390	390	390	390	390
1120	11	21	300	2666	20	390	390	390	390	390	390
1121	11	22	300	1000	21	390	390	390	390	390	390
1122	11	23	300	1000	22	390	390	390	390	390	390
1123	11	24	300	333	23	390	390	390	390	390	390
1124	11	25	300	857	24	390	390	390	390	390	390
1125	11	26	300	500	25	390	390	390	390	390	390
1126	11	27	300	222	26	390	390	390	390	390	390
1127	11	28	300	100	27	390	390	390	390	390	390
1128	11	29	300	818	28	390	390	390	390	390	390
1129	11	30	300	666	29	390	390	390	390	390	390
1130	11	31	300	250	30	390	390	390	390	390	390
1131	11	32	300	111	31	390	390	390	390	390	390
1132	11	33	300	309	32	390	390	390	390	390	390
1133	11	34	300	314	33	390	390	390	390	390	390
1134	11	35	300	188	34	390	390	390	390	390	390
1135	11	36	300	200	35	390	390	390	390	390	390
1136	11	37	300	134	36	390	390	390	390	390	390
1137	11	38	300	84	37	390	390	390	390	390	390
1138	11	39	300	44	38	390	390	390	390	390	390
1139	11	40	300	112	39	390	390	390	390	390	390
1140	11	41	300	127	40	390	390	390	390	390	390
1141	11	42	300	112	41	390	390	390	390	390	390
1142	11	43	300	100	42	390	390	390	390	390	390
1143	11	44	300	88	43	390	390	390	390	390	390
1144	11	45	300	78	44	390	390	390	390	390	390
